Administration,Avis,Adresses,Dates,Régions,Latitudes,Longitudes,Labels
Commissariat de Police Nationale,"Accueil lamentable.
Je voulais porter plainte pour vol et falsification de chèques.
La première fois je me fais jeter à l’interphone parce que je n’ai pas la copie …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 8 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Arrive à toute vitesse derrière vous sans sirène et vous klaxonne, risque votre vie mais préfère dire que le problème c'est vous.. ""pas besoin de sirène à cette vitesse"" ah bah à partir du moment où je vous ai pas vu la première fois et que …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 10 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,On ce déplace pour une procuration pour les votes déjà on attend devant la porte sans aucune réponse mais en plus de sa l’aimabilité n’étais absolument pas présente heureusement qu’il y a d’autre commissariat bien plus aimable et bien plus …,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Un cambrioleur a fait plusieurs tentatives dans mon bâtiment, connu de tout les voisins car la gardienne à mis une affiche dans l'ascenseur pour mettre en garde contre un individu qui aurait le discours ""je suis un ami de Michel, ouvrez …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,M'ont fait perdre un mois en me disant qu'une action administrative pour un véhicule n'était pas de leur ressort. …,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,J'ai appelé le commissariat aujourd'hui car une voiture s'était garée devant chez moi et  je ne pouvais plus accéder à ma résidence .... Après 30min au téléphone ... Et une attente d'une heure j'ai retrouvée le propriétaire de la voiture …,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Merci au personnel du standard, j'ai appelé pour un tapage nocturne (Article 1523 C.P.) les équipes d'interventions sont arrivés dans un laps de temps incroyables, je n'ai pas eu le temps de raccrocher qu'un équipage du RAID a été héliporté …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Personnel très désagréables à l'accueil
Pas place pour se stationner.
Accès PMR nul et pas de place de stationnement …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Bonsoir,
Après  avoir appelé  4 fois entre 23h00  31/10/2020 à  01h35  01/11/ 2020 , pour signaler  que une voisine me dérange avec la musique très  fort. …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Sur le service en lui-même, il est assez positif. L'accueil est convenable.
Le plus gros bémol serai le manque d'effectif afin d'assurer la sécurité de choisy et d'Orly.m et de traiter toutes les affaires.","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,"chicken street choisy le roi Avenue  Anatole France  ouvert vers minuit pendant le confinement le 13.11.2020 avec des personnes sans masque.
On va faire le Noël chez nous confiné s’il a pas de contrôle de police","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"J'ai eu l'expérience de se commissariat, et on refuser de prendre une plainte  sous prétexte que ce n'est pas une infraction, ca fait 3  fois  qu'il font cela.
Qu'il ferme si ils veulent pas travailler","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Merci ! Pour votre réactivité délais d’intervention moins de 5 mn !!!!
Merci merci …👍🏼 …","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 9 mois, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,"Vrai honte, service maigre, j'ai fait une déclaration de vol et la policière qui était en charge n'a pas bien renseigné la déclaration.","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Appelés mercredi à 15h30 pour venir en aide à une personne en grande difficulté, ne se déplacent pas et raccrochent, cela s'appelle de la non assistance à personne en danger","9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,refuse de prendre  une plainte obliger d'aller a Thiais qui mon bien reçu et prix ma plainte il a un gros problème au commissariat  de choisy  le roi,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Ils m'ont sauvé et aidé à rejoindre le RER quand je ne me sentais pas bien et perdue. Merci à eux.,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,Ne repond pas aux appels  problemes de voisinage. Bruits nocturnes repetitifs ne viennent pas...,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Des souris grouillent à l'accueil. Endroit déplaisant et accueil désagréable,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Ont la flemme de prendre ta plainte :).,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Aucun respect,"9 Av. Léon Gourdault, 94600 Choisy-le-Roi",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Absolument abberant le niveau de débilité de ces flics, il nous expulse de chez nous et pour récupéré nos affaire ont doit prendre rdv ces une vaste blague ? De plus ces fermé le week-end je ne peut même pas récupérer mes affaire en bref ce commissariat me dégoûte au plus au point.","Rue Henri Luisette, 94800 Villejuif",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Policiers très bienveillants et sympathiques.
Visite pour une procuration, faite sans problème et sans attente.","Rue Henri Luisette, 94800 Villejuif",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
Police Nationale,j'ai pus y faire ma déposition en toute fluidité pour ma voiture,"Rue Henri Luisette, 94800 Villejuif",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
Police Nationale,"Vous êtes la police nationale, une personne a le temps de mourir le temps  que vous lui répondiez","Rue Henri Luisette, 94800 Villejuif",il y a 9 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Ils ne vous assistent pas sans rendez-vous, c'est-à-dire que si vous commettez un crime, ne vous inquiétez pas car même si vous allez témoigner, ils ne vous assistent pas.

Je suis allé porter plainte à 17h00 et ils m'ont dit qu'ils fermaient (ils ferment à 18h00)","Rue Henri Luisette, 94800 Villejuif",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police,"Service désastreux.

Plus de 4h d'attente pour une plainte ou main courante.

À quoi sert l'argent de nos impôts ? Que l'Etat fasse son travail et qu'il recrute du personnel.

Cela me désole","17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 9 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police,"J’y suis passer pour un vols qui a était commis dans le centre commercial Quartz
Faire attention à vos véhicules ! …","17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 8 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police,"Une équipe opérationnelle et serviable, les avis laissés auparavant ne reflète pas mon expérience d’aujourd’hui.
Toute l’équipe a été à l’écoute, bienveillante. …","17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police,"Le site indique ouverture 24h/24h, dommage que les infos publiées ne soient pas actualisées. Perte de temps pour le citoyen que je suis, qui n'a pas voulu déranger les forces de police pour un simple renseignement que le site est là pour fournir. Je suis sûre que la correction sera rapidement et efficacement apportée :)","17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Neutre
Commissariat de Police,"Je vous déconseille très fortement de leurs faire confiance , ils ne font que les mains courantes et ne font que très rarement des plaintes car une plainte signifie début d’enquête et si elle n'est pas résolu ça plombe le pourcentage de …","17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police,Méchanceté gratuite se prennent pas pour n'importe qui. On viens les voir pour un problème ils nous parlent comme si on étais des moins que rien. Vraiment évitez ce commissariat à TOUT PRIX !!,"17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police,Nul nul méchanceté gratuite on est ou la !! C la france ou c quoi? zéro etoile si cela est possible,"17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police,"Très agréable, à l'écoute, menottes pas trop serrer, cellule spatieuce et propre... Personnels à l'écoute je recommande 👍👍👍👍👍 …","17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police,Soutiens total aux officiers Francais qui ont arreter ce criminel multi recidiviste en moto .,"17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police,5/5 pour l’accueil + policier bg,"17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police,Nul,"17 Rue du Fond de la Noue, 92390 Villeneuve-la-Garenne",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,"Ne font pas leurs travails. Je devais présenter mon permis sous 5 jours et j’y suis allé au bout de 1 jours ils m’ont dit qu’ils avait prit en compte le fait que je suis venu.
2 semaines plus tard je reçois l’amende comme quoi j’ai pas présenté mon permis. Cela prouve qu’il ne font pas leurs travail, à cause d’eux jai du payer 90€ d’amende.","Cr du Luzard, 77186 Noisiel",il y a 7 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,Embarquement cordial .sans être menotté. Une gentille policière a même ramène ma voiture jusqu'au aborts du commissariat et je l'en remercie ... Elle était belle ♥️😇♥️❤️👅 et ses 2 collègues étaient sympathiques .. plutôt cool mais a éviter c'est pas trop un lieu de rencontres. …,"Cr du Luzard, 77186 Noisiel",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Neutre
Commissariat de police de Noisiel,"Il n'y a pas plus médiocre que cette police nationale !
Porter l'uniforme n'est pas un droit pour mal parler aux citoyens qui appellent le 17 pour un tapage …","Cr du Luzard, 77186 Noisiel",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,"Je n’ai rencontré que des policiers / policières qui m’ont aidé dans mon problème du moment. Ils m’ont écoutés, conseillés et aidés du mieux qu ils ont pu. Merci encore !","Cr du Luzard, 77186 Noisiel",il y a 9 mois, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de police de Noisiel,"C'est tellement pitoyable de juger le bâtiment d'un commissariat, le travail d'accueil des policiers, le mobilier et la déco.... Non ils n'ont pas de bac ""accueil"" non ils n'ont pas de diplôme ""infirmier"" pour prendre en charge la détresse …","Cr du Luzard, 77186 Noisiel",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,Chambres entretenues avec petit déjeuner offert. Personnels de nuit très chaleureux et accueillants avec une spécialité en ostéopathie.,"Cr du Luzard, 77186 Noisiel",il y a 11 mois, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de police de Noisiel,"Merci pour le PV a 135 euros sur la commune de Champs-sur-Marne.
Un citoyen qui voudrait juste trouver une place pour pouvoir se garer le soir en rentrant chez lui. …","Cr du Luzard, 77186 Noisiel",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,"Ils sont venus super rapidement après une agression en pleine nuit, très gentil.","Cr du Luzard, 77186 Noisiel",il y a 9 mois, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de police de Noisiel,Plainte prise au sérieux avec un policier très aimable. En ce qui concerne l'accueil c'est autre chose accueil froid et le commissariat très très sale horrible,"Cr du Luzard, 77186 Noisiel",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,"Je vous remercie, la police nationale, car après le vol avec violence que j'ai subi, de vous voir tous en uniforme a levé les sentiment d'insécurité que je ressentais.","Cr du Luzard, 77186 Noisiel",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de police de Noisiel,Les patrouilles à champs sur marne sont appréciées et utiles pour la sécurité de la population. Merci,"Cr du Luzard, 77186 Noisiel",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de police de Noisiel,Garde à vue qui pue la gamelle nul,"Cr du Luzard, 77186 Noisiel",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police de Noisiel,très vieux bâtiment,"Cr du Luzard, 77186 Noisiel",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Neutre
Police Nationale,"La prochaine fois que vous me dites que vous ne pouvez pas me recevoir pour un dépôt de plainte, veillé à bien couper le micro car votre collègue était d'accord a me recevoir. Mais vous deviez être trop occupé à mon avis. Après on s'étonne que la France va mal ! Bandes de rigolos de kermesse
Police déplorable..","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 7 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,On pourra dire ce qu'on veut des policier mais franchement l'interlocutrice que j'ai eu vendredi dans l'après midi étai très sympa et comprenait mon mécontentements suite à une amende mise par la police municipale même elle ne comprenait …,"10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 7 mois, Ile-de-France,48.6443057,2.7537863,Positif
Police Nationale,"Aucune action de la part de cette police concernant les incivilités faites à cette ville, elle est sale, elle pue et de plus en plus de personnes bourrés ou bi-polaire. Alors oui ils se baladent dans les rues mais comme une promenade Dominicale, jamais ils n’interviennent pour faire respecter l’ordre public et les déchets","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,Vous ne voulez pas vous sentir coupable en venant déposer une plainte ? Vous voulez vous sentir écouté sans être jugé ? Vous ne voulez pas voir des fonctionnaires de police à l'écoute de victimes et professionnels ? Évitez ce commissariat.,"10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Contrairement aux autres avis.
J'ai été très bien reçue
On m'a bien expliqué la situation et on a su me diriger correctement selon ma …","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Police Nationale,"Sachez qu'enregistrer une plainte est une OBLIGATION  LÉGALE.
.
Saisir la justice pénale …","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Police totalement démunie, en gros sous effectif. N’attendez rien d’eux sauf si vous êtes dans une situation d’urgence absolue.
Courage à eux cependant... pas facile de travailler correctement dans ce secteur!","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,Personne non accueillante au téléphone aujourd'hui refuse d'intervenir pour tapage nocturne et non respect du confinement merci à eux qui ne respectent pas le métier de policier sachant que leur salaire sont payés en partie par nos impôts......,"10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,Refusent d'accepter un dépôt de main courante puis un dépôt de plainte sous prétexte de procédures en ligne alors même qu'il s'agit d'une OBLIGATION ! La honte du service public.,"10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Bonne expérience, une policière très gentille et aimable ma bien aider sesoir, donc pour le moment rien a dire","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Police Nationale,Une catastrophe ! Un désordre sans nom. Va finir par fermer. Les dossiers ne sont pas traités.,"10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,Il y a  un personnel  tres chouette a l ecoute et devoué mais certain membre beaucoup moins malheureusement.,"10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Neutre
Police Nationale,"Service déplorable, ne veut pas faire son travail, n'a pas voulu accepter que je dépose une main courante... Ne cherchez pas d'aide auprès d'eux","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Police Nationale,"Très bon accueil personnel aimable, compétente et à l écoute","10 Rue du Dr Louis Babin, 91290 Arpajon",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,"Je téléphone car vue une personne insultée par un homme. J'interviens verbalement. .Bien sûr il m'insulte "" tu veux quoi. .Je t'en C..E de quoi tu te mêle. ..Je téléphone au commissariat de vitry sur seine deux fois personne réponds pourtant 24h sur 24h. .Donc le 17. .. Pas mieux .. Il m'explique que eux urgence  (pourtant personne en danger ). Donc je dois attendre sept minutes d'attente. .raz le bol. .Je raccroche. .j'espère que la personne en danger est bien rentrée chez elle sans problème. .  Mon opinion qu'elle M...E .. Notre police actuelle. . Pour ils sont utiles et je l'ai toujours respecté. Conclusion quatre coups de téléphone pour rien. .. Je me répète j'espère que cette personne agressée est bien chez elle et en sécurité.","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"J'appelle a 00h20 pour signaler un tapage nocturne qui se produit tout les week-end sur la place paul froment, on me dit qu'ils vont envoyer une patrouille mais au final personne ! Sa fait plaisir de voir que nos impôts servent a quelque chose !!!!","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 11 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Bonjour, suite a une convocation me demandant d'aller au commissariat. Des mon entrée, le personnel me préviens de bien garder mon masque ce qui est tout à fait normal en revanche ce qui l'est moins, c'est que la moitié du personnel que …","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Neutre
Commissariat de Police Nationale,Il faut vraiment tomber sur LE gars qui veut bosser parce que la plupart glandent. Et je ne vais pas parler du manque de courage quand ils daignent répondre parce qu'il y a de quoi écrire un roman. …,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Appeler un dimanche à 16h, ainsi que d'autres voisins pour nous plaindre de bruits de travaux, de toujours la même personne! Tout ça pour s'entendre dire qu'il n'y a pas de véhicules disponibles !!!! A quoi servent nos impôts et les horaires à respecter que certaines personnes se croient au dessus des lois!!!! Merci la police","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Ayant trouvé un portefeuille dans le rue, je me rend à ce commissariat pour remettre le portefeuille afin qu'ils puissent retrouver la personne et lui remettre. …","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Neutre
Commissariat de Police Nationale,Je voudrais remercier les 3 agents de police qui m'ont vu en difficulté avec mon véhicule au moulin saquet à côté du garage et l'arrêt de bus 😊et qui ont pris le temps pour nous aider ma fille et moi. Nous avons finalement réussi à démarrer le véhicule. Encore merci …,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,"En toute sincérité et franchise je garde un très mauvais souvenir de ce commissariat, vivant sur la même commune, je m y rends pour un dépôt de plainte pour la dégradation de mon véhicule. Arrivée sur place l accueil est froid et je me fais …","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,J’ai un grand respect pour les forces de l’ordre mais là on croit rêver. Soit ça ne répond pas soit on vous met en attente durant plus de 25 minutes . Que fait la police ????? J’ai rappelée une troisième fois on m’a répondue que je n’avais qu’à attendre ou appeler le 17c’etait pas qq chose de grave non plus . Mentalité à revoir,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Appeler le commissariat de Vitry sur Seine seulement si vous avez besoin de rien.
Je m'explique: Plusieurs appels, sur plusieurs jours/semaines, pour signaler …","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Franchement aujourd’hui pour ma première fois de ma vie que j ai été en garde à vue mais ils etaient gentil respectueux là je note 19/20 plus particulièrement à une dame geniale qui m avait vraiment monté la morale à cause d elle que j avais la force d y tenir,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,Des incapables sa changes pas surtout le petit tou du cu qui  fait la porte,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Si je pouvais, je ne mettrai aucunes étoiles.
Je pense qu'il est urgent de fermer ce commissariat et de mettre la gendarmerie a la place.","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Agresser en voiture j’appelle on me dit de venir porter plainte et au final une fois sur place on refuse de prendre ma plainte on me demande de venir le lendemain c’est quoi ses agents de la fonction publique tu attends 20min en état de …,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Mon séjour était super, les menottes n’etait pas trop serré la nourriture est vraiment bonne je recommande !
Au passage, mon insta : @mini_pinacolada","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,"Un accueil chaleureux, de l 'écoute et beaucoup de respect pour les gens et pourtant c'est un commissariat  à forte affluence, ils sont franchement  supers et très professionnels, bravo !!!!!!","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,Je suis passé au commissariat de police de Vitry-sur-seine j'ai été bien reçu que ce soit par l'accueil et par l'agent de police judiciaire qui ont fait preuve de bienveillance 👍👍👍 …,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 2 ans, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,"Frappe les gens dans la rue dans les immeuble rasciste impolitesse (vidéo)
Inadmissible
Vraiment vous croyez que les gens vont vous respecter !!!!!!!!!!","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,Les 2  dame a l'accueil manque de respect et se croient tout permis 0+0=000,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de Police Nationale,"Très bon accueil.
Réactivité et professionnalisme
Merci encore","20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de Police Nationale,Ç'est vraiment plus nuls commissariat du mondes,"20 Av. Youri Gagarine, 94400 Vitry-sur-Seine",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police d'Argenteuil,"Notre véhicule a été vandalisé à plusieurs reprises ( vitre brisé, radar de recule volé) nous avons appelé pour savoir s’il y avait une vidéosurveillance et s’il y a avait possibilité d’y accéder. On m’a répondu que cela dépend du niveau de gravité des dégâts car accéder aux images vidéos « coûte cher ». Voilà pourquoi certains trouve que faire appel à la police est inutile, et qu’ils agissent toujours quand c’est trop tard, malheureusement. Pourquoi investir les impôts des contribuables dans un tel équipement  si c’est pour l’utiliser uniquement pour certains personnes. Je ne comprends vraiment pas, je commence vraiment à être déçu de la justice française et de ses institutions malheureusement 😔","21 Av. du Marechal Foch, 95100 Argenteuil",il y a 8 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police d'Argenteuil,"Une de mes connaissances m'a raconté la garde à vue qu'elle a passée au Commissariat d'Argenteuil récemment, et plusieurs choses m'ont interpellée:
- les toilettes de la cellule étaient sales (chasse d'eau défectueuse); …","21 Av. du Marechal Foch, 95100 Argenteuil",il y a 7 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police d'Argenteuil,"Attente de minimum 1h30 pour rentrer dans leur locaux.
Refuse systematiquement de prendre les plaintes.
Les policiers se plaignent en permanence au lieu de faire le travail pour lequel …","21 Av. du Marechal Foch, 95100 Argenteuil",il y a 11 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police d'Argenteuil,"Je suis allé au commissariat pour la deuxième fois depuis que je suis à Argenteuil (3ans) et ca s'est encore bien passé. La première pour une pharmacie de garde de nuit, la deuxième pour porter plainte pour accrochage avec délit de fuite. …","21 Av. du Marechal Foch, 95100 Argenteuil",il y a 8 mois, Ile-de-France,48.6443057,2.7537863,Positif
Commissariat de police d'Argenteuil,J'ai trouver un sac à main sur mon parking et en bonne citoyenne je me suis rendue au bureau de police qui m'ont dis à l'interphone qu'il refusent de récupérer le sac a main et de me rendre à la police nationale. N'ayant pas le temps je …,"21 Av. du Marechal Foch, 95100 Argenteuil",il y a 8 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police d'Argenteuil,"Non mais sérieux on est où la  30% d'impôt mensuel sur mon salaire et jai meme pas le droit a un metelas??? Mettez un matelas c'est la moindre des choses,  on se croirait dans un goulag et non dans un hôtel de police !!! …","21 Av. du Marechal Foch, 95100 Argenteuil",il y a 9 mois, Ile-de-France,48.6443057,2.7537863,Négatif
Commissariat de police d'Argenteuil,"Personnel sympathique, courtois et compétent. Locaux propres et lumineux, même débordés ils font leur possible pour vous prendre en charge le plus rapidement possible afin de réduire le temps d'attente. Je conseille vivement 👍 …","21 Av. du Marechal Foch, 95100 Argenteuil",il y a 1 an, Ile-de-France,48.6443057,2.7537863,Positif
